open,air-quality,Class
FALSE,724,prestate
TRUE,465,poststate
FALSE,759,prestate
TRUE,445,poststate
FALSE,751,prestate
TRUE,479,poststate
FALSE,780,prestate
TRUE,503,poststate
FALSE,757,prestate
TRUE,435,poststate
FALSE,684,prestate
TRUE,473,poststate
FALSE,734,prestate
TRUE,495,poststate
FALSE,775,prestate
TRUE,590,poststate
FALSE,756,prestate
TRUE,490,poststate
FALSE,775,prestate
TRUE,440,poststate
FALSE,769,prestate
TRUE,470,poststate
FALSE,705,prestate
TRUE,467,poststate
FALSE,685,prestate
TRUE,478,poststate
FALSE,757,prestate
TRUE,466,poststate
FALSE,723,prestate
TRUE,475,poststate
FALSE,782,prestate
TRUE,484,poststate
FALSE,790,prestate
TRUE,456,poststate
FALSE,728,prestate
TRUE,454,poststate
FALSE,653,prestate
TRUE,471,poststate
FALSE,690,prestate
TRUE,495,poststate
