off-heater,temp,Class
FALSE,23.6,prestate
TRUE,21.2,poststate
FALSE,23.9,prestate
TRUE,22.8,poststate
FALSE,24,prestate
TRUE,22.4,poststate
FALSE,23.7,prestate
TRUE,21.9,poststate
FALSE,24.7,prestate
TRUE,21.6,poststate
FALSE,24.9,prestate
TRUE,22.5,poststate
FALSE,25,prestate
TRUE,22.6,poststate
FALSE,24.7,prestate
TRUE,21.7,poststate
FALSE,23.9,prestate
TRUE,22.5,poststate
FALSE,24.6,prestate
TRUE,23,poststate
FALSE,23.9,prestate
TRUE,22.1,poststate
FALSE,25,prestate
TRUE,23.1,poststate
FALSE,24.4,prestate
TRUE,22.5,poststate
FALSE,25.2,prestate
TRUE,23.1,poststate
FALSE,23.6,prestate
TRUE,22.3,poststate
FALSE,25.1,prestate
TRUE,23,poststate
FALSE,23.7,prestate
TRUE,21.8,poststate
FALSE,24.1,prestate
TRUE,22.6,poststate
FALSE,25,prestate
TRUE,22.5,poststate
FALSE,24.3,prestate
TRUE,22.7,poststate
FALSE,23.8,prestate
TRUE,22.7,poststate
FALSE,24.7,prestate
TRUE,22.1,poststate
FALSE,24.3,prestate
TRUE,22.8,poststate
FALSE,25,prestate
TRUE,22.5,poststate
